Nodes;p_a;p{cycle_failure};p{cycle_success};p{rts_collision};p{rts_success};p{wait};idle_time;backoff_time;rts_time;cts_time;out_time;data_time;wait_time;Cycle_time;time_between_tx;time_w/o_tx;tau;tau_data
30;1.0;0.4916559936455308;0.5083440063544693;0.8371951292347567;0.1628048707652432;0.0;3.1999999999986226;131.79819049467406;10.00059524883063;1.6267008203335893;8.373894428497042;8.13350410167116;0.0;164.7595859143387;240.00000000000168;10752.906369237731;0.06069810866136863;0.04936589307707964
31;1.0;0.5142467730544299;0.48575322694557;0.8467079270605165;0.1532920729394838;0.0;3.1999999999986244;134.66389634160367;10.14831877850604;1.554410326225142;8.5939084522809;7.772051631128785;0.0;167.48699585596827;240.00000000000168;10984.335359541234;0.06059168191919308;0.04640391089116208
32;1.0;0.5360139693864875;0.46398603061351273;0.8555161624558366;0.1444838375441635;0.0;3.199999999998624;137.19704036905583;10.285426689364211;1.4847552979625858;8.800671391401625;7.423776489815879;0.0;169.8764255355613;240.00000000000162;11189.828382034202;0.060546521725647555;0.04370104013203299
33;1.0;0.5579865148961854;0.4420134851038147;0.8641481266951577;0.13585187330484197;0.0;3.199999999998623;139.75584975572087;10.420520924417781;1.414443152331585;9.006077772086194;7.072215761660731;0.0;172.28355051854734;240.00000000000162;11397.144564585422;0.060484711935954394;0.04104986076949561
34;1.0;0.5795140302025507;0.42048596979744945;0.8723775740380012;0.12762242596199894;0.0;3.1999999999986244;142.294292085398;10.552635011815065;1.3455551033512474;9.207079908463822;6.727775516758902;0.0;174.67289272913686;240.00000000000162;11602.602899539532;0.06041369583418366;0.038516425826825816
35;1.0;0.5995169118210325;0.40048308817896755;0.8798271460941997;0.1201728539058001;0.0;3.199999999998626;144.57031173051465;10.673660197718839;1.2815458821721313;9.392114315546706;6.4077294108632055;0.0;176.8069074189863;240.00000000000162;11787.181953454494;0.06036902264471515;0.036241397490645304
36;1.0;0.6186968362571666;0.38130316374283374;0.8867925695804564;0.11320743041954354;0.0;3.199999999998623;146.77572858012627;10.788230667002354;1.2201701239765255;9.568060543025828;6.10085061988507;0.0;178.87321065799125;240.00000000000162;11965.784184236305;0.060312165400942246;0.03410712312616787
37;1.0;0.6365604700776982;0.3634395299223018;0.8931456119834676;0.1068543880165323;0.0;3.1999999999986253;148.77549358367372;10.893569038066113;1.163006495750852;9.730562542315264;5.815032478756577;0.0;180.74067063431195;240.00000000000162;12127.954209449072;0.06027181928580312;0.03217334791526798
38;1.0;0.6551909471580223;0.34480905284197777;0.8996005085135101;0.10039949148649001;0.0;3.1999999999986275;150.7469635018484;10.999769866039923;1.1033889690938405;9.89638089694608;5.516944845471402;0.0;182.5668370484922;240.00000000000125;12288.250829909488;0.06025064597640061;0.03021876773822853
39;1.0;0.6720671334427105;0.32793286655728976;0.9053400381714934;0.09465996182850649;0.0;3.199999999998627;152.69969166240767;11.0957583272248;1.0493851729828625;10.046373154241937;5.246925864916406;0.0;184.3875193547552;240.00000000000065;12445.954861248623;0.06017629808163395;0.028455970790634163
